Id,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,cat_crop
125,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Masoor,246,145,Pulses
126,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Moong(Green Gram),710,490,Fruits
127,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Peas & beans (Pulses),7,4,Pulses
128,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Rapeseed &Mustard,16981,13256,Oilseeds
129,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Safflower,247,161,Oilseeds
130,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Urad,1105,995,Pulses
131,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Wheat,7122,15259,Cereal
132,West Bengal,MEDINIPUR WEST,2006,Summer     ,Moong(Green Gram),1630,545,Fruits
133,West Bengal,MEDINIPUR WEST,2006,Summer     ,Rice,137915,436435,Cereal
134,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Arecanut,135,157,Nuts
135,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Coconut ,1180,18035100,Fruits
136,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Dry chillies,5395,5510,Species
137,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Groundnut,13815,22308,Nuts
138,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Potato,79435,843729,Vegetables
139,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Sannhamp,341,1876,Fertile Plant
140,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Sesamum,64910,63130,Oilseeds
141,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Sugarcane,2720,204954,Sugarcane
142,West Bengal,MEDINIPUR WEST,2006,Whole Year ,Turmeric,1475,1789,Species
143,West Bengal,MEDINIPUR WEST,2006,Winter     ,Rice,513019,1281080,Cereal
144,West Bengal,MEDINIPUR WEST,2007,Autumn     ,Rice,41368,84059,Cereal
145,West Bengal,MEDINIPUR WEST,2007,Autumn     ,Sesamum,257,216,Oilseeds
146,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Cotton(lint),650,3250,fibres
147,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Dry ginger,1835,2523,Species
148,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Garlic,110,1210,Species
149,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Groundnut,1368,1363,Nuts
150,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Jute,4760,53120,fibres
151,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Maize,82,77,Cereal
152,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Moong(Green Gram),80,50,Fruits
153,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Other Kharif pulses,395,336,Pulses
154,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Sannhamp,260,1482,Fertile Plant
155,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Sunflower,452,723,Oilseeds
156,West Bengal,MEDINIPUR WEST,2007,Kharif     ,Urad,117,35,Pulses
157,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Arhar/Tur,154,72,Pulses
158,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Groundnut,4585,7336,Nuts
159,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Horse-gram,845,448,Beans
160,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Khesari,108,71,Vegetables
161,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Maize,70,98,Cereal
162,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Masoor,46,40,Pulses
163,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Moong(Green Gram),935,655,Fruits
164,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Peas & beans (Pulses),1,1,Pulses
165,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Rapeseed &Mustard,16376,14811,Oilseeds
166,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Safflower,438,280,Oilseeds
167,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Urad,1105,983,Pulses
168,West Bengal,MEDINIPUR WEST,2007,Rabi       ,Wheat,6539,16603,Cereal
169,West Bengal,MEDINIPUR WEST,2007,Summer     ,Groundnut,14446,38282,Nuts
170,West Bengal,MEDINIPUR WEST,2007,Summer     ,Maize,354,867,Cereal
171,West Bengal,MEDINIPUR WEST,2007,Summer     ,Moong(Green Gram),1803,1646,Fruits
172,West Bengal,MEDINIPUR WEST,2007,Summer     ,Rice,167509,558553,Cereal
173,West Bengal,MEDINIPUR WEST,2007,Summer     ,Sesamum,69480,65298,Oilseeds
174,West Bengal,MEDINIPUR WEST,2007,Whole Year ,Arecanut,135,170,Nuts
175,West Bengal,MEDINIPUR WEST,2007,Whole Year ,Coconut ,1450,20036400,Fruits
176,West Bengal,MEDINIPUR WEST,2007,Whole Year ,Dry chillies,5595,6216,Species
177,West Bengal,MEDINIPUR WEST,2007,Whole Year ,Potato,70653,1874358,Vegetables
178,West Bengal,MEDINIPUR WEST,2007,Whole Year ,Sugarcane,2206,243492,Sugarcane
179,West Bengal,MEDINIPUR WEST,2007,Whole Year ,Turmeric,1475,1789,Species
180,West Bengal,MEDINIPUR WEST,2007,Winter     ,Rice,441316,1156246,Cereal
181,West Bengal,MEDINIPUR WEST,2007,Winter     ,Sesamum,45,29,Oilseeds
182,West Bengal,MEDINIPUR WEST,2008,Autumn     ,Maize,50,73,Cereal
183,West Bengal,MEDINIPUR WEST,2008,Autumn     ,Rice,42118,79878,Cereal
184,West Bengal,MEDINIPUR WEST,2008,Autumn     ,Sesamum,265,183,Oilseeds
185,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Castor seed,60,37,Oilseeds
186,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Cotton(lint),298,1043,fibres
187,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Dry ginger,1635,2523,Species
188,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Groundnut,660,579,Nuts
189,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Jute,5504,54488,fibres
190,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Moong(Green Gram),20,12,Fruits
191,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Niger seed,80,36,Oilseeds
192,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Other Kharif pulses,355,312,Pulses
193,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Sannhamp,226,1277,Fertile Plant
194,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Sunflower,265,345,Oilseeds
195,West Bengal,MEDINIPUR WEST,2008,Kharif     ,Urad,118,45,Pulses
196,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Arhar/Tur,212,104,Pulses
197,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Groundnut,6530,11754,Nuts
198,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Horse-gram,645,335,Beans
199,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Khesari,27,2,Vegetables
200,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Linseed,24,2,Oilseeds
201,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Maize,458,687,Cereal
202,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Masoor,150,175,Pulses
203,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Moong(Green Gram),843,573,Fruits
204,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Other  Rabi pulses,70,29,Pulses
205,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Rapeseed &Mustard,14818,11324,Oilseeds
206,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Safflower,79,54,Oilseeds
207,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Urad,970,825,Pulses
208,West Bengal,MEDINIPUR WEST,2008,Rabi       ,Wheat,2363,4551,Cereal
209,West Bengal,MEDINIPUR WEST,2008,Summer     ,Groundnut,10858,25125,Nuts
210,West Bengal,MEDINIPUR WEST,2008,Summer     ,Maize,481,1419,Cereal
211,West Bengal,MEDINIPUR WEST,2008,Summer     ,Moong(Green Gram),736,609,Fruits
212,West Bengal,MEDINIPUR WEST,2008,Summer     ,Rice,173516,463393,Cereal
213,West Bengal,MEDINIPUR WEST,2008,Summer     ,Sesamum,63169,29571,Oilseeds
214,West Bengal,MEDINIPUR WEST,2008,Whole Year ,Arecanut,139,175,Nuts
215,West Bengal,MEDINIPUR WEST,2008,Whole Year ,Coconut ,1455,20130,Fruits
216,West Bengal,MEDINIPUR WEST,2008,Whole Year ,Dry chillies,5542,6016,Species
217,West Bengal,MEDINIPUR WEST,2008,Whole Year ,Potato,63622,557342,Vegetables
218,West Bengal,MEDINIPUR WEST,2008,Whole Year ,Sugarcane,2049,249736,Sugarcane
219,West Bengal,MEDINIPUR WEST,2008,Whole Year ,Turmeric,1375,1799,Species
220,West Bengal,MEDINIPUR WEST,2008,Winter     ,Rice,503293,1313474,Cereal
221,West Bengal,MEDINIPUR WEST,2008,Winter     ,Sesamum,25,17,Oilseeds
222,West Bengal,MEDINIPUR WEST,2009,Autumn     ,Groundnut,651,609,Nuts
223,West Bengal,MEDINIPUR WEST,2009,Autumn     ,Maize,119,155,Cereal
224,West Bengal,MEDINIPUR WEST,2009,Autumn     ,Rice,29271,61570,Cereal
225,West Bengal,MEDINIPUR WEST,2009,Autumn     ,Sesamum,230,173,Oilseeds
226,West Bengal,MEDINIPUR WEST,2009,Kharif     ,Castor seed,60,35,Oilseeds
227,West Bengal,MEDINIPUR WEST,2009,Kharif     ,Jute,3716,42654,fibres
228,West Bengal,MEDINIPUR WEST,2009,Kharif     ,Moong(Green Gram),650,393,Fruits
229,West Bengal,MEDINIPUR WEST,2009,Kharif     ,Niger seed,75,34,Oilseeds
230,West Bengal,MEDINIPUR WEST,2009,Kharif     ,Sannhamp,155,884,Fertile Plant
231,West Bengal,MEDINIPUR WEST,2009,Kharif     ,Sunflower,79,51,Oilseeds
232,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Arhar/Tur,225,48,Pulses
233,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Gram,16,16,Beans
234,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Horse-gram,797,419,Beans
235,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Khesari,12,1,Vegetables
236,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Maize,395,790,Cereal
237,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Masoor,402,291,Pulses
238,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Moong(Green Gram),829,573,Fruits
239,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Peas & beans (Pulses),6,8,Pulses
240,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Potato,62679,2448136,Vegetables
241,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Rapeseed &Mustard,11769,10174,Oilseeds
242,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Safflower,80,56,Oilseeds
243,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Urad,1060,934,Pulses
244,West Bengal,MEDINIPUR WEST,2009,Rabi       ,Wheat,6463,12477,Cereal
245,West Bengal,MEDINIPUR WEST,2009,Summer     ,Groundnut,11642,26532,Nuts
246,West Bengal,MEDINIPUR WEST,2009,Summer     ,Maize,660,1980,Cereal
247,West Bengal,MEDINIPUR WEST,2009,Summer     ,Moong(Green Gram),960,631,Fruits
248,West Bengal,MEDINIPUR WEST,2009,Summer     ,Rice,156372,499925,Cereal
249,West Bengal,MEDINIPUR WEST,2009,Summer     ,Sesamum,59958,44246,Oilseeds
250,West Bengal,MEDINIPUR WEST,2009,Whole Year ,Sugarcane,1617,134367,Sugarcane
251,West Bengal,MEDINIPUR WEST,2009,Winter     ,Rice,488628,1195017,Cereal
252,West Bengal,MEDINIPUR WEST,2009,Winter     ,Sesamum,90,68,Oilseeds
253,West Bengal,MEDINIPUR WEST,2010,Autumn     ,Groundnut,461,392,Nuts
254,West Bengal,MEDINIPUR WEST,2010,Autumn     ,Maize,56,98,Cereal
255,West Bengal,MEDINIPUR WEST,2010,Autumn     ,Rice,39370,86742,Cereal
256,West Bengal,MEDINIPUR WEST,2010,Autumn     ,Sesamum,135,95,Oilseeds
257,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Castor seed,85,51,Oilseeds
258,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Horse-gram,775,403,Beans
259,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Jute,2737,41582,fibres
260,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Moong(Green Gram),65,38,Fruits
261,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Niger seed,85,44,Oilseeds
262,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Other Kharif pulses,460,391,Pulses
263,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Sannhamp,180,727,Fertile Plant
264,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Sunflower,248,193,Oilseeds
265,West Bengal,MEDINIPUR WEST,2010,Kharif     ,Urad,84,15,Pulses
266,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Arhar/Tur,224,197,Pulses
267,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Gram,5,6,Beans
268,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Groundnut,3965,6859,Nuts
269,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Khesari,54,70,Vegetables
270,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Maize,435,914,Cereal
271,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Masoor,544,374,Pulses
272,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Moong(Green Gram),1165,746,Fruits
273,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Other  Rabi pulses,70,28,Pulses
274,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Potato,64683,2482395,Vegetables
275,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Rapeseed &Mustard,12452,11675,Oilseeds
276,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Safflower,285,205,Oilseeds
277,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Urad,1100,935,Pulses
278,West Bengal,MEDINIPUR WEST,2010,Rabi       ,Wheat,4740,11345,Cereal
279,West Bengal,MEDINIPUR WEST,2010,Summer     ,Groundnut,7765,13977,Nuts
280,West Bengal,MEDINIPUR WEST,2010,Summer     ,Maize,475,1401,Cereal
281,West Bengal,MEDINIPUR WEST,2010,Summer     ,Moong(Green Gram),1077,892,Fruits
282,West Bengal,MEDINIPUR WEST,2010,Summer     ,Rice,173888,629634,Cereal
283,West Bengal,MEDINIPUR WEST,2010,Summer     ,Sesamum,60938,61102,Oilseeds
284,West Bengal,MEDINIPUR WEST,2010,Whole Year ,Sugarcane,2354,89661,Sugarcane
285,West Bengal,MEDINIPUR WEST,2010,Winter     ,Rice,403460,1002184,Cereal
286,West Bengal,MEDINIPUR WEST,2010,Winter     ,Sesamum,205,152,Oilseeds
287,West Bengal,MEDINIPUR WEST,2011,Autumn     ,Groundnut,310,279,Nuts
288,West Bengal,MEDINIPUR WEST,2011,Autumn     ,Maize,18,28,Cereal
289,West Bengal,MEDINIPUR WEST,2011,Autumn     ,Rice,35781,75673,Cereal
290,West Bengal,MEDINIPUR WEST,2011,Autumn     ,Sesamum,145,104,Oilseeds
291,West Bengal,MEDINIPUR WEST,2011,Kharif     ,Castor seed,70,42,Oilseeds
292,West Bengal,MEDINIPUR WEST,2011,Kharif     ,Horse-gram,415,220,Beans
293,West Bengal,MEDINIPUR WEST,2011,Kharif     ,Jute,3463,37788,fibres
294,West Bengal,MEDINIPUR WEST,2011,Kharif     ,Moong(Green Gram),120,66,Fruits
295,West Bengal,MEDINIPUR WEST,2011,Kharif     ,Niger seed,65,32,Oilseeds
